    n, merge_cmp, merge_swaps, merge_time
  255,      1723,           0,       1010
  256,      1740,           0,       1040
  257,      1750,           0,       1024
  258,      1749,           0,       1050
  259,      1761,           0,       1044
  260,      1759,           0,       1044
  261,      1769,           0,       1051
  262,      1781,           0,       1048
  263,      1784,           0,       1065
  264,      1803,           0,       1333
  265,      1815,           0,       1495
  266,      1822,           0,       1194
  267,      1832,           0,       1106
  268,      1835,           0,       1080
  269,      1844,           0,       1096
  270,      1854,           0,       1079
  271,      1860,           0,       1086
  272,      1861,           0,       1127
  273,      1868,           0,       1101
  274,      1879,           0,       1106
  275,      1884,           0,       1101
  276,      1899,           0,       1242
  277,      1905,           0,       1323
  278,      1908,           0,       1178
  279,      1918,           0,       1477
  280,      1936,           0,       1124
  281,      1940,           0,       1124
  282,      1948,           0,       1138
  283,      1964,           0,       1152
  284,      1972,           0,       1142
  285,      1985,           0,       1305
  286,      1991,           0,       1156
  287,      1999,           0,       1173
  288,      1999,           0,       1163
  289,      2008,           0,       1879
  290,      2017,           0,       1417
  291,      2023,           0,       1184
  292,      2047,           0,       1183
  293,      2059,           0,       1257
  294,      2052,           0,       1234
  295,      2060,           0,       1200
  296,      2071,           0,       1198
  297,      2082,           0,       1287
  298,      2088,           0,       1220
  299,      2097,           0,       1215
  300,      2106,           0,       1346
  301,      2110,           0,       1273
  302,      2119,           0,       1230
  303,      2136,           0,       1282
  304,      2155,           0,       1332
  305,      2165,           0,       2340
  306,      2172,           0,       1269
  307,      2184,           0,       1263
  308,      2174,           0,       1279
  309,      2180,           0,       1264
  310,      2182,           0,       1265
  311,      2193,           0,       1662
  312,      2218,           0,       1528
  313,      2221,           0,       1293
  314,      2223,           0,       1301
  315,      2234,           0,       1292
  316,      2227,           0,       1302
  317,      2239,           0,       1419
  318,      2250,           0,       1309
  319,      2262,           0,       1313
  320,      2289,           0,       1345
  321,      2298,           0,       1467
  322,      2290,           0,       1334
  323,      2302,           0,       1327
  324,      2307,           0,       1360
  325,      2315,           0,       1332
  326,      2324,           0,       1356
  327,      2341,           0,       1360
  328,      2337,           0,       1574
  329,      2345,           0,       2232
  330,      2342,           0,       1374
  331,      2366,           0,       1346
  332,      2370,           0,       1924
  333,      2372,           0,       1626
  334,      2377,           0,       1447
  335,      2385,           0,       1373
  336,      2419,           0,       1428
  337,      2430,           0,       1429
  338,      2437,           0,       1400
  339,      2440,           0,       1398
  340,      2459,           0,       1409
  341,      2456,           0,       1592
  342,      2465,           0,       1420
  343,      2479,           0,       1433
  344,      2468,           0,       1426
  345,      2480,           0,       1426
  346,      2486,           0,       1546
  347,      2494,           0,       1446
  348,      2510,           0,       1484
  349,      2506,           0,       1440
  350,      2530,           0,       1641
  351,      2541,           0,       1816
  352,      2530,           0,       1467
  353,      2544,           0,       1489
  354,      2559,           0,       1464
  355,      2572,           0,       1515
  356,      2590,           0,       1500
  357,      2598,           0,       1489
  358,      2607,           0,       1518
  359,      2619,           0,       1492
  360,      2632,           0,       1623
  361,      2633,           0,       1558
  362,      2647,           0,       2201
  363,      2651,           0,       1514
  364,      2659,           0,       1549
  365,      2668,           0,       1529
  366,      2675,           0,       1522
  367,      2683,           0,       1515
  368,      2686,           0,       1543
  369,      2693,           0,       1539
  370,      2713,           0,       1646
  371,      2728,           0,       1841
  372,      2719,           0,       1924
  373,      2724,           0,       1673
  374,      2737,           0,       1602
  375,      2748,           0,       1567
  376,      2753,           0,       1562
  377,      2767,           0,       1569
  378,      2772,           0,       1574
  379,      2772,           0,       1577
  380,      2792,           0,       2088
  381,      2796,           0,       1718
  382,      2805,           0,       1631
  383,      2815,           0,       1599
  384,      2825,           0,       1631
  385,      2834,           0,       1621
  386,      2842,           0,       1779
  387,      2856,           0,       1629
  388,      2873,           0,       1736
  389,      2875,           0,       1650
  390,      2896,           0,       1645
  391,      2919,           0,       1848
  392,      2894,           0,       2017
  393,      2904,           0,       1658
  394,      2923,           0,       1689
  395,      2931,           0,       1669
  396,      2936,           0,       1670
  397,      2949,           0,       2162
  398,      2951,           0,       1984
  399,      2963,           0,       1683
  400,      2981,           0,       1683
