    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  138,          5419,            5290,           4741,       803,           0,        469
  139,          5421,            5291,           5195,       812,           0,        670
  140,          5493,            5362,           5090,       828,           0,        493
  141,          5576,            5444,           4912,       838,           0,        485
  142,          5714,            5581,           5132,       840,           0,        505
  143,          5848,            5714,           5337,       848,           0,        498
  144,          5895,            5760,           5674,       858,           0,        463
  145,          5993,            5857,           5574,       865,           0,        470
  146,          6126,            5989,           5454,       875,           0,        472
  147,          6234,            6096,           5777,       881,           0,        474
  148,          6305,            6166,           5806,       888,           0,        479
  149,          6426,            6286,           6402,       895,           0,        485
  150,          6456,            6315,           5923,       903,           0,        618
  151,          6597,            6455,           5978,       915,           0,        626
  152,          6637,            6494,           5861,       925,           0,        530
  153,          6753,            6609,           6241,       931,           0,        540
  154,          6786,            6641,           7759,       931,           0,        595
  155,          6831,            6685,           7273,       935,           0,        562
  156,          6932,            6785,           8585,       951,           0,        639
  157,          6942,            6794,           8681,       956,           0,       1145
  158,          7034,            6885,           8365,       953,           0,        648
  159,          7080,            6930,           7447,       963,           0,        518
  160,          7164,            7013,           7159,       982,           0,        601
  161,          7184,            7032,           7354,       988,           0,        537
  162,          7212,            7059,           7503,       994,           0,        535
  163,          7370,            7216,           7363,      1001,           0,        577
  164,          7450,            7295,           8137,       996,           0,        555
  165,          7518,            7362,           7665,      1002,           0,        643
  166,          7531,            7374,           7472,      1008,           0,        543
  167,          7665,            7507,           7962,      1018,           0,        550
  168,          7706,            7547,           9152,      1047,           0,        892
  169,          7869,            7709,           8535,      1055,           0,       1092
  170,          8020,            7859,           8466,      1058,           0,        568
  171,          8059,            7897,           8141,      1060,           0,        570
  172,          8230,            8067,           8268,      1061,           0,        694
  173,          8277,            8113,           8246,      1068,           0,        575
  174,          8284,            8119,           8300,      1082,           0,        581
  175,          8424,            8258,           8350,      1089,           0,        698
  176,          8540,            8373,           9282,      1097,           0,        646
  177,          8671,            8503,           8626,      1101,           0,        591
  178,          8716,            8547,           8731,      1121,           0,        600
  179,          8880,            8710,           8877,      1129,           0,        602
  180,          8931,            8760,           9567,      1129,           0,       1128
  181,          9031,            8859,           9198,      1139,           0,        648
  182,          9080,            8907,           8910,      1156,           0,       1165
  183,          9160,            8986,           9114,      1150,           0,        718
  184,          9288,            9113,           9768,      1162,           0,        626
  185,          9450,            9274,           9407,      1171,           0,        625
  186,          9606,            9429,           9411,      1168,           0,       1167
  187,          9741,            9563,           9828,      1178,           0,        628
  188,          9829,            9650,           8924,      1184,           0,        629
  189,          9859,            9679,           9712,      1190,           0,        633
  190,         10010,            9829,           9322,      1203,           0,        715
  191,         10168,            9986,           9605,      1208,           0,        643
  192,         10315,           10132,          10113,      1216,           0,        646
  193,         10352,           10168,           9488,      1224,           0,        735
  194,         10534,           10349,          12979,      1245,           0,       1343
  195,         10612,           10426,          12084,      1257,           0,       1043
  196,         10798,           10611,           9984,      1256,           0,        664
  197,         10805,           10617,          10539,      1266,           0,        672
  198,         10912,           10723,          10859,      1275,           0,        674
  199,         11104,           10914,          11786,      1278,           0,        675
  200,         11188,           10997,          10760,      1293,           0,        715
  201,         11295,           11103,          12435,      1301,           0,        689
  202,         11493,           11300,          11135,      1312,           0,        714
