   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 440,         46984,           46550,          43006,      3306,           0,       1822
 441,         47226,           46791,          47355,      3316,           0,       1728
 442,         47280,           46844,          43715,      3307,           0,       1794
 443,         47294,           46857,          43462,      3310,           0,       1791
 444,         47481,           47043,          46512,      3332,           0,       1787
 445,         47907,           47468,          44703,      3331,           0,       1754
 446,         48298,           47858,          44801,      3352,           0,       1777
 447,         48726,           48285,          45373,      3368,           0,       1760
 448,         49080,           48638,          45629,      3393,           0,       1893
 449,         49407,           48964,          45729,      3400,           0,       1765
 450,         49779,           49335,          45963,      3402,           0,       1763
 451,         50229,           49784,          46068,      3402,           0,       1770
 452,         50238,           49792,          45991,      3426,           0,       1803
 453,         50362,           49915,          46961,      3427,           0,       1779
 454,         50539,           50091,          47867,      3426,           0,       1847
 455,         50705,           50256,          47489,      3445,           0,       1881
 456,         51056,           50606,          50481,      3462,           0,       2386
 457,         51376,           50925,          48833,      3465,           0,       1797
 458,         51488,           51036,          47327,      3471,           0,       1913
 459,         51930,           51477,          47585,      3476,           0,       1806
 460,         52211,           51757,          49014,      3507,           0,       1807
 461,         52312,           51857,          47833,      3513,           0,       1831
 462,         52337,           51881,          53227,      3506,           0,       1811
 463,         52799,           52343,          48770,      3521,           0,       1819
 464,         53153,           52696,          50632,      3528,           0,       1820
 465,         53192,           52734,          50190,      3535,           0,       1862
 466,         53218,           52759,          49746,      3537,           0,       1838
 467,         53227,           52767,          49144,      3549,           0,       1848
 468,         53438,           52977,          50498,      3559,           0,       1888
 469,         53485,           53023,          49485,      3562,           0,       1957
 470,         53747,           53284,          49568,      3584,           0,       1854
 471,         54169,           53705,          49586,      3585,           0,       2048
 472,         54200,           53735,          49619,      3613,           0,       1866
 473,         54556,           54090,          50356,      3618,           0,       1868
 474,         54867,           54400,          52641,      3601,           0,       1865
 475,         55113,           54645,          51350,      3624,           0,       1894
 476,         55459,           54990,          51506,      3633,           0,       1919
 477,         55930,           55460,          51573,      3640,           0,       1906
 478,         55935,           55464,          51154,      3658,           0,       1889
 479,         56222,           55750,          51803,      3679,           0,       1936
 480,         56383,           55910,          51533,      3671,           0,       1916
 481,         56832,           56358,          57211,      3678,           0,       1904
 482,         57118,           56643,          52751,      3693,           0,       2135
 483,         57196,           56720,          57672,      3706,           0,       1971
 484,         57220,           56743,          53353,      3693,           0,       2184
 485,         57395,           56917,          53774,      3702,           0,       1920
 486,         57517,           57038,          53727,      3721,           0,       1942
 487,         57601,           57121,          57148,      3737,           0,       2116
 488,         57607,           57126,          59404,      3733,           0,       1973
 489,         57824,           57342,          52955,      3745,           0,       1949
 490,         57908,           57425,          53399,      3749,           0,       1991
 491,         58281,           57797,          54170,      3774,           0,       2038
 492,         58762,           58277,          55760,      3774,           0,       1990
 493,         59007,           58521,          54692,      3781,           0,       1977
 494,         59048,           58561,          55022,      3788,           0,       1961
 495,         59234,           58746,          54615,      3808,           0,       1963
 496,         59578,           59089,          55331,      3811,           0,       2151
 497,         59838,           59348,          55128,      3820,           0,       1971
 498,         60039,           59548,          55435,      3832,           0,       1972
 499,         60278,           59786,          60042,      3841,           0,       2023
 500,         60441,           59948,          58805,      3855,           0,       2167
 501,         60642,           60148,          57352,      3863,           0,       2225
 502,         61134,           60639,          57081,      3858,           0,       2148
 503,         61179,           60683,          57414,      3868,           0,       1999
 504,         61482,           60985,          56940,      3903,           0,       1996
 505,         61583,           61085,          57030,      3906,           0,       2068
 506,         61942,           61443,          56603,      3910,           0,       2058
 507,         62295,           61795,          57318,      3905,           0,       2026
 508,         62685,           62184,          57975,      3924,           0,       2232
 509,         63023,           62521,          59067,      3928,           0,       2025
 510,         63265,           62762,          58845,      3939,           0,       2242
 511,         63291,           62787,          58928,      3935,           0,       2084
 512,         63644,           63139,          58836,      3957,           0,       2075
 513,         64116,           63610,          59293,      3967,           0,       2046
 514,         64133,           63626,          59390,      3979,           0,       2052
 515,         64411,           63903,          59412,      3997,           0,       2103
 516,         64865,           64356,          64201,      3991,           0,       2147
 517,         65286,           64776,          63911,      4008,           0,       2126
 518,         65525,           65014,          61348,      4018,           0,       2249
 519,         65633,           65121,          61065,      4024,           0,       2313
 520,         66017,           65504,          61602,      4015,           0,       2125
 521,         66514,           66000,          61753,      4028,           0,       2285
 522,         66648,           66133,          61291,      4042,           0,       2232
 523,         67065,           66549,          61558,      4058,           0,       2276
 524,         67150,           66633,          63476,      4070,           0,       2120
 525,         67218,           66700,          64072,      4086,           0,       2171
 526,         67512,           66993,          63741,      4087,           0,       2146
 527,         67993,           67473,          63100,      4100,           0,       2161
 528,         68223,           67702,          63256,      4103,           0,       2173
 529,         68454,           67932,          63235,      4116,           0,       2197
 530,         68637,           68114,          63817,      4132,           0,       2164
 531,         69139,           68615,          64200,      4132,           0,       2201
 532,         69502,           68977,          72669,      4135,           0,       2300
