      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    133,          4500,            4374,          22596,       770,           0,       3255
    134,          4503,            4376,          21224,       769,           0,       3609
    135,          4568,            4440,          24398,       774,           0,       3340
    136,          4579,            4450,          23449,       789,           0,       3785
    137,          4606,            4476,          21378,       797,           0,       3738
    138,          4682,            4551,          23799,       794,           0,       3701
    139,          4793,            4661,          24337,       810,           0,       3438
    140,          4849,            4716,          26273,       818,           0,       3502
    141,          4880,            4746,          23070,       824,           0,       5367
    142,          4976,            4841,          23266,       825,           0,       3915
    143,          5021,            4885,          25667,       830,           0,       4706
    144,          5040,            4903,          24574,       862,           0,       4426
    145,          5083,            4945,          24622,       870,           0,       3690
    146,          5215,            5076,          27582,       873,           0,       3646
    147,          5311,            5171,          27034,       882,           0,       3805
    148,          5315,            5174,          26407,       882,           0,       3874
    149,          5381,            5239,          28192,       895,           0,       3934
    150,          5517,            5374,          29155,       890,           0,       3896
    151,          5554,            5410,          28685,       905,           0,       3777
    152,          5656,            5511,          30302,       913,           0,       4549
    153,          5706,            5560,          26962,       919,           0,       4918
    154,          5850,            5703,          27640,       927,           0,       5026
    155,          5984,            5836,          29422,       934,           0,       4002
    156,          6086,            5937,          28413,       937,           0,       5673
    157,          6194,            6044,          30657,       947,           0,       3921
    158,          6272,            6121,          32598,       958,           0,       4144
    159,          6319,            6167,          30782,       965,           0,       5234
    160,          6448,            6295,          31651,       968,           0,       4640
    161,          6595,            6441,          31828,       977,           0,       4070
    162,          6675,            6520,          32994,       989,           0,       5249
    163,          6731,            6575,          32809,       998,           0,       4858
    164,          6762,            6605,          32644,      1000,           0,       4201
    165,          6801,            6643,          33066,      1010,           0,       4684
    166,          6855,            6696,          33846,      1026,           0,       4381
    167,          6883,            6723,          34033,      1033,           0,       5111
    168,          6949,            6788,          35643,      1032,           0,       4300
    169,          7002,            6840,          33866,      1042,           0,       5572
    170,          7096,            6933,          34745,      1045,           0,       4603
    171,          7241,            7077,          34548,      1062,           0,       5457
    172,          7318,            7153,          36474,      1064,           0,       4405
    173,          7374,            7208,          39576,      1066,           0,       4958
    174,          7502,            7335,          37877,      1080,           0,       5358
    175,          7509,            7341,          36650,      1087,           0,       5316
    176,          7513,            7344,          35993,      1090,           0,       5171
    177,          7629,            7459,          36560,      1100,           0,       5355
    178,          7634,            7463,          36563,      1112,           0,       4737
    179,          7638,            7466,          37995,      1116,           0,       4655
    180,          7768,            7595,          38464,      1113,           0,       5264
    181,          7799,            7625,          37278,      1120,           0,       5410
    182,          7879,            7704,          38765,      1123,           0,       4914
    183,          7890,            7714,          39217,      1134,           0,       5033
    184,          7949,            7772,          38959,      1138,           0,       5432
    185,          8038,            7860,          38259,      1142,           0,       6082
    186,          8161,            7982,          39002,      1164,           0,       5130
    187,          8169,            7989,          39946,      1172,           0,       4844
    188,          8333,            8152,          41702,      1184,           0,       4926
    189,          8509,            8327,          42489,      1194,           0,       4973
    190,          8578,            8395,          43260,      1191,           0,       5162
    191,          8731,            8547,          42997,      1196,           0,       5196
    192,          8754,            8569,          43389,      1212,           0,       5004
    193,          8859,            8673,          43732,      1220,           0,       5058
    194,          8949,            8762,          44764,      1232,           0,       5669
    195,          8989,            8801,          42940,      1238,           0,       6191
    196,          9175,            8986,          43706,      1248,           0,       6468
    197,          9178,            8988,          43130,      1257,           0,       6302
    198,          9311,            9120,          44775,      1253,           0,       5831
    199,          9468,            9276,          46640,      1270,           0,       5271
    200,          9517,            9324,          46397,      1283,           0,       5433
    201,          9556,            9362,          44925,      1290,           0,       7601
    202,          9629,            9434,          45933,      1295,           0,       5930
    203,          9816,            9620,          47988,      1308,           0,       5534
    204,          9832,            9635,          48650,      1325,           0,       6556
    205,          9909,            9711,          45933,      1329,           0,       5490
    206,          9929,            9730,          48004,      1323,           0,       6180
    207,         10080,            9880,          48509,      1335,           0,       6428
    208,         10120,            9919,          48932,      1344,           0,       5545
    209,         10294,           10092,          58378,      1352,           0,       6098
    210,         10372,           10169,          57181,      1364,           0,       5793
    211,         10511,           10307,          50799,      1373,           0,       5724
    212,         10571,           10366,          48994,      1376,           0,       5612
    213,         10673,           10467,          52419,      1378,           0,       6505
    214,         10801,           10594,          52454,      1383,           0,       5773
    215,         10863,           10655,          54179,      1391,           0,       5754
    216,         10981,           10772,          52968,      1417,           0,       5968
    217,         11186,           10976,          51393,      1425,           0,       7008
    218,         11313,           11102,          52807,      1432,           0,       6012
    219,         11354,           11142,          56116,      1444,           0,       6038
    220,         11561,           11348,          63265,      1449,           0,       6299
    221,         11659,           11445,          55718,      1454,           0,       5991
    222,         11864,           11649,          57661,      1449,           0,       6016
    223,         11892,           11676,          57361,      1454,           0,       6263
    224,         12077,           11860,          57389,      1469,           0,       6008
    225,         12138,           11920,          60795,      1476,           0,       6417
    226,         12186,           11967,          58967,      1476,           0,       6103
    227,         12222,           12002,          59237,      1488,           0,       6153
    228,         12317,           12096,          59597,      1497,           0,       6448
    229,         12485,           12263,          59427,      1506,           0,       6253
    230,         12543,           12320,          58627,      1511,           0,       7504
    231,         12570,           12346,          59837,      1523,           0,       6217
    232,         12761,           12536,          59746,      1530,           0,       6328
    233,         12792,           12566,          61541,      1536,           0,       6778
    234,         12834,           12607,          61405,      1555,           0,       6631
    235,         12953,           12725,          61017,      1564,           0,       6617
    236,         13021,           12792,          60511,      1572,           0,       7259
    237,         13074,           12844,          61764,      1578,           0,       6684
    238,         13287,           13056,          63391,      1583,           0,       7000
    239,         13367,           13135,          67523,      1590,           0,       6795
    240,         13596,           13363,          66833,      1600,           0,       6494
    241,         13815,           13581,          65049,      1603,           0,       6657
    242,         13908,           13673,          66716,      1608,           0,       6701
    243,         13970,           13734,          66038,      1619,           0,       6645
    244,         14184,           13947,          66073,      1629,           0,       6718
    245,         14345,           14107,          67946,      1634,           0,       6829
    246,         14519,           14280,          70569,      1648,           0,       6797
    247,         14695,           14455,          69684,      1655,           0,       7113
    248,         14757,           14516,          68767,      1665,           0,       7012
    249,         14948,           14706,          69768,      1668,           0,       6972
    250,         15189,           14946,          71546,      1674,           0,       6929
    251,         15244,           15000,          71042,      1685,           0,       6975
    252,         15290,           15045,          71683,      1685,           0,       6896
    253,         15325,           15079,          71887,      1688,           0,       6925
    254,         15402,           15155,          71281,      1706,           0,       7091
    255,         15488,           15240,          72432,      1703,           0,       7073
    256,         15645,           15396,          73285,      1724,           0,       7125
    257,         15821,           15571,          74463,      1733,           0,       7188
    258,         15872,           15621,          73667,      1724,           0,       7274
    259,         16123,           15871,          75442,      1734,           0,       7016
    260,         16283,           16030,          75590,      1760,           0,       7313
    261,         16329,           16075,          79232,      1771,           0,       7642
    262,         16367,           16112,          77162,      1761,           0,       7163
    263,         16594,           16338,          76498,      1773,           0,       7347
    264,         16846,           16589,          78618,      1779,           0,       7495
    265,         17061,           16803,          78758,      1788,           0,       7292
    266,         17322,           17063,          79758,      1797,           0,       7393
    267,         17538,           17278,          80952,      1800,           0,       8395
    268,         17562,           17301,          82028,      1810,           0,       7389
    269,         17717,           17455,          81642,      1818,           0,       7460
    270,         17785,           17522,          82082,      1819,           0,       7416
    271,         17805,           17541,          82273,      1831,           0,       7452
    272,         17990,           17725,          82790,      1850,           0,       7778
    273,         18210,           17944,          84258,      1863,           0,       7758
    274,         18477,           18210,          85150,      1869,           0,      10212
    275,         18638,           18370,          97831,      1881,           0,       7646
    276,         18768,           18499,          89910,      1873,           0,       7957
    277,         19002,           18732,          87289,      1884,           0,       7771
    278,         19214,           18943,          88349,      1896,           0,       7954
    279,         19246,           18974,          88166,      1904,           0,       7759
    280,         19481,           19208,          89130,      1906,           0,       7753
    281,         19658,           19384,          92911,      1917,           0,       7956
    282,         19727,           19452,          91354,      1928,           0,       8014
    283,         19951,           19675,          92219,      1943,           0,       7849
    284,         20209,           19932,          94180,      1948,           0,       8041
    285,         20459,           20181,          95804,      1947,           0,       8043
    286,         20579,           20300,          94822,      1957,           0,       8003
    287,         20617,           20337,          94138,      1961,           0,       8128
    288,         20658,           20377,          94650,      1992,           0,       8218
    289,         20903,           20621,         105765,      2003,           0,       8342
    290,              ,                ,               ,      2004,           0,       8561
    291,              ,                ,               ,      2017,           0,       9917
    292,              ,                ,               ,      2024,           0,       9516
    293,              ,                ,               ,      2028,           0,      10355
    294,              ,                ,               ,      2049,           0,       9973
    295,              ,                ,               ,      2039,           0,      11853
    296,              ,                ,               ,      2058,           0,      11926
